programme_id,work_id,work_order,source_object_order,source_object_id,project_madurai_id,source_url,title_as_printed,artifact_type,edition_type,commentary_present,selected_as_canonical,local_path,byte_size,sha256,retrieval_or_preservation_date
pathinenkilkanakku,acharakkovai,1,1,pmuni0024,pmuni0024,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0024.html,ஆசாரக்கோவை,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0024.html,53610,d9256bb5837e4934142b58bf7e5def7db794fe5620a1475d78af10adac62cb5a,2026-07-29
sangam-core,aingurunuru,2,1,pmuni0028,pmuni0028,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0028.html,ஐங்குறு நூறு,preserved HTML object,source-only electronic text,False,True,sources/raw-html/aingurunuru.html,201138,b1bbdbe90472ef28b617d32a7b8893b1f894f49afd9b4574e11501bd13e75ac9,2026-07-11
pathinenkilkanakku,aintinai-aimpathu,3,1,pmuni0027,pmuni0027,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0027.html,ஐந்திணை ஐம்பது,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0027.html,97739,3b245f0f64191e63da31b5be5954142380ac428f348d5caf04a5747511a95ad3,2026-07-29
pathinenkilkanakku,aintinai-elupathu,4,1,pmuni0027,pmuni0027,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0027.html,ஐந்திணை எழுபது,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0027.html,97739,3b245f0f64191e63da31b5be5954142380ac428f348d5caf04a5747511a95ad3,2026-07-29
sangam-core,akananuru,5,1,pmuni0229,pmuni0229,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0229.html,அகநானுறு,preserved HTML object,source-only electronic text,False,True,sources/raw-html/akananuru.html,794903,0f2484a5b1b2df77fd43ab89a206f8f101bfa2d0161e6905f9822b08a04279cb,2026-07-13
pathinenkilkanakku,elati,6,1,pmuni0029,pmuni0029,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0029.html,ஏலாதி,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0029.html,104087,57ee41487ccf6a9f3550f213e08c910ea0d18def047700cd16c0c71348bfdaef,2026-07-29
pathinenkilkanakku,iniyavai-narpathu,7,1,pmuni0025,pmuni0025,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0025.html,இனியவை நாற்பது,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0025.html,71537,11efaae0d942d244ec6f051905b4cb00e1f0424741dc88d1448332a6eb767b9b,2026-07-29
pathinenkilkanakku,inna-narpathu,8,1,pmuni0025,pmuni0025,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0025.html,இன்னா நாற்பது,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0025.html,71537,11efaae0d942d244ec6f051905b4cb00e1f0424741dc88d1448332a6eb767b9b,2026-07-29
pathinenkilkanakku,kainnilai,9,1,pmuni0051,pmuni0051,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0051.html,கைந்நிலை,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0051.html,53443,4927a2832b00858bf358ca58120cfef4bfd1adae587cf9ea9eada98fd785b6c8,2026-07-29
pathinenkilkanakku,kalavazhi-narpathu,10,1,pmuni0025,pmuni0025,https://www.projectmadurai.org/pm_etexts/utf8/pmuni0025.html,களவழி நாற்பது,preserved HTML object,source-only electronic text,False,True,sources/raw-html/pathinenkilkanakku/pmuni0025.html,71537,11efaae0d942d244ec6f051905b4cb00e1f0424741dc88d1448332a6eb767b9b,2026-07-29
