assertion_id,work_id,record_id,assertion_type,evidence_class,predicate,source_text,source_field,source_location,start_line,end_line,start_character,end_character,confidence,review_status,canonical_record_path,canonical_record_sha256
asrt.d00161902ab998965677f433,purananuru,001,POET_ATTRIBUTION,SOURCE_EXPLICIT,ATTRIBUTED_TO,பெருந்தேவனார்,poet_as_printed,yaml:poet_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/001.md,43462e03fe1298f92c27be3bd8833d8e403b5aa0b46d83ef9253fa8d911499a4
asrt.6ba984a1dd3ba4c8f12da26f,purananuru,001,PATRON_OR_ADDRESSEE,SOURCE_EXPLICIT,ADDRESSED_TO,இறைவன்,addressee_as_printed,yaml:addressee_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/001.md,43462e03fe1298f92c27be3bd8833d8e403b5aa0b46d83ef9253fa8d911499a4
asrt.b54daabdbe8365ebe8d2194d,purananuru,001,SOURCE_CONTEXT_NOTE,SOURCE_EXPLICIT,HAS_PRINTED_TITLE,இறைவனின் திருவுள்ளம்!,title_as_printed,yaml:title_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/001.md,43462e03fe1298f92c27be3bd8833d8e403b5aa0b46d83ef9253fa8d911499a4
asrt.44df0ee238436df9f0403293,purananuru,001,SOURCE_CONTEXT_NOTE,SOURCE_EXPLICIT,HAS_PRINTED_SOURCE_NOTE,"பாடியவர்:பெருந்தேவனார்.
பாடப்பட்டோன்: இறைவன்",source_note,markdown:source-note,,,,,high,machine_checked,corpus/purananuru/poems/001.md,43462e03fe1298f92c27be3bd8833d8e403b5aa0b46d83ef9253fa8d911499a4
asrt.2c04c3f6675cf8917bf2691b,purananuru,001,TEXTUAL_CONDITION,SOURCE_EXPLICIT,HAS_TEXTUAL_STATUS,complete,textual_status,yaml:textual_status,,,,,high,machine_checked,corpus/purananuru/poems/001.md,43462e03fe1298f92c27be3bd8833d8e403b5aa0b46d83ef9253fa8d911499a4
asrt.8f075641cccc81f23e3e6134,purananuru,002,POET_ATTRIBUTION,SOURCE_EXPLICIT,ATTRIBUTED_TO,முரஞ்சியூர் முடிநாகராயர்,poet_as_printed,yaml:poet_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/002.md,37ecf81241ba3665e30d5553c64c47c6925bba1e727aab05a66088f3e00c83d4
asrt.6fc34fc2aba6fc30e6b5c912,purananuru,002,PATRON_OR_ADDRESSEE,SOURCE_EXPLICIT,ADDRESSED_TO,சேரமான் பெருஞ்சோற்று உதியன் சேரலாதன்,addressee_as_printed,yaml:addressee_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/002.md,37ecf81241ba3665e30d5553c64c47c6925bba1e727aab05a66088f3e00c83d4
asrt.2b4d229f3b1d4b324ef92fa1,purananuru,002,TINI_VALUE,SOURCE_EXPLICIT,ASSOCIATED_WITH_TINAI,பாடாண்,thinai_as_printed,yaml:thinai_as_printed,,,,,high,machine_checked,corpus/purananuru/poems/002.md,37ecf81241ba3665e30d5553c64c47c6925bba1e727aab05a66088f3e00c83d4
asrt.e867552e77ce3b051f2e679a,purananuru,002,TURAI_VALUE,SOURCE_EXPLICIT,ASSOCIATED_WITH_TURAI,செவியறிவுறூஉ,thurai,yaml:thurai,,,,,high,machine_checked,corpus/purananuru/poems/002.md,37ecf81241ba3665e30d5553c64c47c6925bba1e727aab05a66088f3e00c83d4
asrt.c9738fb9ab4806649bda20c4,purananuru,002,SOURCE_CONTEXT_NOTE,SOURCE_EXPLICIT,HAS_PRINTED_SOURCE_NOTE,"பாடியவர்: முரஞ்சியூர் முடிநாகராயர்.
பாடப்பட்டோன்: சேரமான் பெருஞ்சோற்று உதியன் சேரலாதன்.
திணை: பாடாண்.
துறை: செவியறிவுறூஉ; வாழ்த்தியலும் ஆம்.",source_note,markdown:source-note,,,,,high,machine_checked,corpus/purananuru/poems/002.md,37ecf81241ba3665e30d5553c64c47c6925bba1e727aab05a66088f3e00c83d4
