assertion_type,count,evidence_class,default_review_status
POET_ATTRIBUTION,386,SOURCE_EXPLICIT,machine_checked
PATRON_OR_ADDRESSEE,233,SOURCE_EXPLICIT,machine_checked
TINI_VALUE,386,SOURCE_EXPLICIT,machine_checked
TURAI_VALUE,386,SOURCE_EXPLICIT,machine_checked
SOURCE_CONTEXT_NOTE,791,SOURCE_EXPLICIT,machine_checked
TEXTUAL_CONDITION,400,SOURCE_EXPLICIT,machine_checked
PERSON_MENTION,3,SOURCE_EXPLICIT,human_review_required
RULER_MENTION,11,SOURCE_EXPLICIT,human_review_required
WATER_BODY_MENTION,16,SOURCE_EXPLICIT,human_review_required
MOUNTAIN_OR_HILL_MENTION,7,SOURCE_EXPLICIT,human_review_required
COMMUNITY_MENTION,28,SOURCE_EXPLICIT,human_review_required
OCCUPATION_MENTION,6,SOURCE_EXPLICIT,human_review_required
KINSHIP_MENTION,13,SOURCE_EXPLICIT,human_review_required
FLORA_MENTION,21,SOURCE_EXPLICIT,human_review_required
FAUNA_MENTION,79,SOURCE_EXPLICIT,human_review_required
COMMODITY_MENTION,8,SOURCE_EXPLICIT,human_review_required
GIFT_MENTION,32,SOURCE_EXPLICIT,human_review_required
ECONOMIC_ACTIVITY,5,SOURCE_EXPLICIT,human_review_required
WARFARE_MENTION,34,SOURCE_EXPLICIT,human_review_required
POLITICAL_RELATION,13,SOURCE_EXPLICIT,human_review_required
SOCIAL_PRACTICE,6,SOURCE_EXPLICIT,human_review_required
MUSIC_OR_PERFORMANCE,3,SOURCE_EXPLICIT,human_review_required
