assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.98f3c685c3ca9df1f9579dad,003,FAUNA_MENTION,யானை,11,9,human_review_required
asrt.d0c61fc2e7ca7c41b3980412,003,COMMODITY_MENTION,பொன்,7,0,human_review_required
asrt.c64fd91febcc9b8fdeca1ff0,004,WATER_BODY_MENTION,கடல்,15,5,human_review_required
asrt.c340ac63bd6cf4af1b8dac0f,004,FAUNA_MENTION,புலி,9,15,human_review_required
asrt.7784a66b07f4a66c2825a914,004,WARFARE_MENTION,வாள்,1,0,human_review_required
asrt.9a7303c162e4a56b8d457ddc,006,FAUNA_MENTION,யானை,13,8,human_review_required
asrt.d9e8f8ceccff67742bdbecb2,007,FLORA_MENTION,மலர்,5,10,human_review_required
asrt.b82be8ff235cd16d41c540d3,007,FAUNA_MENTION,களிறு,1,0,human_review_required
asrt.86383f3949b670b94a97440a,011,ECONOMIC_ACTIVITY,வரி,3,0,human_review_required
asrt.0887375caee62379098bd70e,011,POLITICAL_RELATION,வேந்தன்,10,15,human_review_required
asrt.305a168ef877ae03e1cc123b,011,MUSIC_OR_PERFORMANCE,பாடல்,7,0,human_review_required
asrt.e4182420ed8258149c7545bd,012,COMMUNITY_MENTION,பாணர்,1,0,human_review_required
asrt.9ff4718a6c1ed868a403ba67,013,OCCUPATION_MENTION,உழவர்,11,5,human_review_required
asrt.e0b2f75ab57a1fc5e7062f84,014,COMMODITY_MENTION,பொன்,3,0,human_review_required
asrt.b844a7f52a1b531761f06c39,015,FAUNA_MENTION,களிறு,9,16,human_review_required
asrt.7fc27ba478878ad7ee8f4875,015,COMMODITY_MENTION,பொன்,12,8,human_review_required
asrt.d4d4de3d42c7e9c53d9074aa,016,FLORA_MENTION,மரம்,5,4,human_review_required
asrt.38892ac2638d7d5e6338567a,016,FLORA_MENTION,மலர்,13,14,human_review_required
asrt.1912ec72189c61e73bf3e6c5,016,FAUNA_MENTION,களிறு,6,15,human_review_required
asrt.fe460b0eb3303b7fd048b440,016,WARFARE_MENTION,வாள்,11,6,human_review_required
asrt.e6804b57cfae5c63cd0bdc15,017,MOUNTAIN_OR_HILL_MENTION,குன்று,3,0,human_review_required
asrt.0d55adecf491d0bf5efa6062,017,MOUNTAIN_OR_HILL_MENTION,மலை,3,8,human_review_required
asrt.9de539d967761cb7561af441,017,MOUNTAIN_OR_HILL_MENTION,மலை,10,11,human_review_required
asrt.3124b5ffc017aa4a02853383,017,FLORA_MENTION,மலர்,22,15,human_review_required
asrt.dd7365b8130b03b05648efc1,017,FAUNA_MENTION,களிறு,17,18,human_review_required
asrt.c09dda7ffb90647699855afc,017,FAUNA_MENTION,யானை,35,26,human_review_required
asrt.36a5a94898c2565cdf2ca5ae,018,RULER_MENTION,இறைவன்,26,0,human_review_required
asrt.20990f6b4f8e56c367028f33,021,FLORA_MENTION,வேங்கை,9,0,human_review_required
asrt.6badf6a48e243cfba81f1213,022,RULER_MENTION,ஆய்,15,1,human_review_required
asrt.022f39c384cda336aef5f717,022,FAUNA_MENTION,களிறு,8,17,human_review_required
asrt.ce1909009ffa2b86a00ee6f0,022,WARFARE_MENTION,வாள்,13,0,human_review_required
asrt.4818bf5a42dd2b29333d991d,024,FLORA_MENTION,நெல்,1,0,human_review_required
asrt.3c73249576171767dde6f403,024,GIFT_MENTION,ஈகை,18,6,human_review_required
asrt.5c6f5a2f90df44d88e27193c,024,GIFT_MENTION,ஈகை,30,14,human_review_required
asrt.e098b456886a3fa33d031ccf,026,WATER_BODY_MENTION,கடல்,1,4,human_review_required
asrt.640ebbce033168da5d347a0e,026,FAUNA_MENTION,களிறு,3,0,human_review_required
asrt.98ff6a3aff68fc2acaf90147,026,WARFARE_MENTION,முரசு,7,8,human_review_required
asrt.303028fe5295aa8e83d0e8e2,029,WARFARE_MENTION,முரசு,8,26,human_review_required
asrt.58bfec87866ed9239a9e65ac,031,WATER_BODY_MENTION,கடல்,13,4,human_review_required
asrt.df55c65c53d17353a5392391,031,WATER_BODY_MENTION,கடல்,13,26,human_review_required
asrt.e80b91558622fa835838110b,031,COMMUNITY_MENTION,மறவர்,9,30,human_review_required
asrt.14c2ef0c121003146c46dbdd,031,FAUNA_MENTION,களிறு,8,21,human_review_required
asrt.eeae86d6d91ff101990cdd62,031,WARFARE_MENTION,போர்,9,1,human_review_required
asrt.6685e62b62591145d83bdf11,032,GIFT_MENTION,பரிசில்,6,17,human_review_required
asrt.91346d276160ecabb54f8803,035,WARFARE_MENTION,முரசு,4,0,human_review_required
asrt.484f5b5363bda393da18d304,037,FAUNA_MENTION,யானை,12,9,human_review_required
asrt.4171c578211b667e97212aee,037,WARFARE_MENTION,வேல்,5,31,human_review_required
asrt.50caa33026cbf35077f73c3d,039,FAUNA_MENTION,யானை,2,0,human_review_required
asrt.6fbfe1d8f19c8a9b09ec6553,042,OCCUPATION_MENTION,உழவர்,13,26,human_review_required
asrt.66b16f3704be8ea5456d38fd,042,GIFT_MENTION,ஈகை,1,4,human_review_required
asrt.776fcaf44b0801d6f027ae56,042,WARFARE_MENTION,போர்,1,13,human_review_required
asrt.848f9e42e06438d997669bdb,043,COMMUNITY_MENTION,மறவர்,11,7,human_review_required
asrt.910f34e82a7d2cbe60cc23d8,043,GIFT_MENTION,ஈகை,8,6,human_review_required
asrt.55e162a729b190d1781e33f5,044,FAUNA_MENTION,யானை,5,7,human_review_required
asrt.24661472ff990a3b0221683d,047,GIFT_MENTION,பரிசில்,6,23,human_review_required
asrt.46f31a553e6ecd0d40fe0681,048,RULER_MENTION,இறைவன்,5,21,human_review_required
asrt.b62c147b194e3bd6bd7ca55b,051,WARFARE_MENTION,போர்,5,31,human_review_required
asrt.f5ae77c6aec046d5b9c8a957,056,WATER_BODY_MENTION,கடல்,3,0,human_review_required
asrt.7a0314f60d2fa98ce4849555,062,WARFARE_MENTION,முரசு,9,18,human_review_required
asrt.87b21b57a8925d950e3fcf37,064,FAUNA_MENTION,யானை,8,7,human_review_required
asrt.39d9cb1a39424f5799675c3b,065,OCCUPATION_MENTION,உழவர்,4,0,human_review_required
asrt.7d372163d6ba7d28538ecf68,065,WARFARE_MENTION,வாள்,11,0,human_review_required
asrt.7397cb5e82a00550aa211ffb,065,POLITICAL_RELATION,வேந்தன்,9,8,human_review_required
asrt.0df5611e74702098d5b96b49,065,POLITICAL_RELATION,மன்னன்,10,24,human_review_required
asrt.877a1916afe57f0cc8881bae,065,MUSIC_OR_PERFORMANCE,யாழ்,1,21,human_review_required
asrt.6200f27d3bfcab09b15b2459,068,COMMUNITY_MENTION,மறவர்,13,7,human_review_required
asrt.99d7c44a91182266285f9124,068,FAUNA_MENTION,யானை,16,24,human_review_required
asrt.9c65568e1d9c804d8dee5db6,070,GIFT_MENTION,ஈகை,18,22,human_review_required
asrt.458ba802ab8e2eb0bedc1332,073,FAUNA_MENTION,புலி,7,7,human_review_required
asrt.9b420da0c5f0f2130f89a9d6,078,KINSHIP_MENTION,தந்தை,11,0,human_review_required
asrt.9de04fe7663a813437ea4c64,080,FAUNA_MENTION,யானை,7,21,human_review_required
asrt.9a106a6d522df4501095ded0,080,WARFARE_MENTION,போர்,6,0,human_review_required
asrt.74b856f07f9b14e0403c04b9,086,FAUNA_MENTION,புலி,3,0,human_review_required
asrt.36647bdedd6ec3be2dbe04cc,087,WARFARE_MENTION,போர்,1,31,human_review_required
asrt.d8789f23ac8a4700efe615e7,089,WARFARE_MENTION,போர்,9,4,human_review_required
asrt.d83726a5ed769ebd0486f784,093,COMMUNITY_MENTION,மறவர்,10,10,human_review_required
asrt.c02fc75dfa8b643bf5453f22,093,FAUNA_MENTION,யானை,13,7,human_review_required
asrt.6c9a30705b8e96cdc2808444,097,WATER_BODY_MENTION,கடல்,14,30,human_review_required
asrt.a80792f98bf5727746d76b44,097,COMMUNITY_MENTION,மறவர்,11,26,human_review_required
asrt.b29b0d06fd99fea724aa9a6f,097,WARFARE_MENTION,வாள்,1,31,human_review_required
asrt.0448b66c3f85b6087edd805f,098,FAUNA_MENTION,களிறு,3,5,human_review_required
asrt.7e5d8b65cb4a53d30d703699,098,WARFARE_MENTION,வாள்,12,0,human_review_required
asrt.c53eee7c58bb91dd522c96c2,100,ECONOMIC_ACTIVITY,வரி,5,0,human_review_required
asrt.e24f29798088e7da8ef2f040,101,FAUNA_MENTION,யானை,4,15,human_review_required
asrt.5df7fffbea9eb2195b0ca765,101,GIFT_MENTION,பரிசில்,5,10,human_review_required
asrt.a590ddad75443d39938151b4,103,FAUNA_MENTION,களிறு,7,20,human_review_required
asrt.8ce48f2f8a7bd7cb16543bc4,103,WARFARE_MENTION,வேல்,8,21,human_review_required
asrt.f7b7994ce3ec89a96829b798,104,FAUNA_MENTION,களிறு,3,17,human_review_required
asrt.065bda1ab60d4d5f593bcacf,105,WARFARE_MENTION,வாள்,1,17,human_review_required
asrt.7ecbae4707a86457c8d39c21,109,OCCUPATION_MENTION,உழவர்,3,0,human_review_required
asrt.fe28709f0d4ad44930ffe77d,109,FAUNA_MENTION,மீன்,10,0,human_review_required
asrt.96b1fa3454ebc924d5f9c0ea,111,FLORA_MENTION,மலர்,3,13,human_review_required
asrt.a72257ff97f0a7f641326c92,114,FAUNA_MENTION,களிறு,3,0,human_review_required
asrt.81c0794d8fc40ab78651720d,115,COMMUNITY_MENTION,பாணர்,2,0,human_review_required
asrt.a0842b97a29689a4aa5572fe,115,FAUNA_MENTION,யானை,5,7,human_review_required
asrt.35993280e750e64644d63426,115,WARFARE_MENTION,வேல்,4,30,human_review_required
asrt.fefdde77c9a89c3133c8dd6d,116,KINSHIP_MENTION,தந்தை,14,22,human_review_required
asrt.844263e7df0037ef10a69ef1,116,FLORA_MENTION,மரம்,12,16,human_review_required
asrt.15be49f67011135fc1b2e80c,116,COMMODITY_MENTION,உப்பு,8,0,human_review_required
asrt.2a2600725bfbc70579f0dd63,116,WARFARE_MENTION,போர்,16,14,human_review_required
asrt.b61469dda95cb42d597d166c,117,RULER_MENTION,ஆய்,10,0,human_review_required
asrt.b5413b4465b902dae4950031,117,KINSHIP_MENTION,தந்தை,10,18,human_review_required
asrt.7f737541d731d421daec1761,117,FLORA_MENTION,முல்லை,9,7,human_review_required
asrt.0fae73dcef0b7b44438f3497,117,FAUNA_MENTION,மீன்,1,5,human_review_required
asrt.303bd2fa291a8c70e328db06,118,WARFARE_MENTION,வேல்,4,5,human_review_required
asrt.606bc896bdb5b172cc84c4fb,120,KINSHIP_MENTION,தந்தை,17,27,human_review_required
asrt.bd5ca8ea2fd69b99439cf71c,121,GIFT_MENTION,பரிசில்,2,15,human_review_required
asrt.40109475313a4bc28a0db869,122,WATER_BODY_MENTION,கடல்,1,0,human_review_required
asrt.e58b2f04b6f305bb63bc4542,125,FAUNA_MENTION,களிறு,9,13,human_review_required
